245|||2|LAS VEGAS|SHI|2|2455|2097-11-08|2099-01-12|839|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|2455|N|D|SHI|LF|L|N|N|NA|USD|0|0|0|0|0|5|0|0|0|NULL|NULL|L|KN|NULL|NULL|NULL|NULL|CL|269|20816|3108|2012-02-25|NULL|NULL
253|||2|NEWBURY STREET II|SHI|2|2532|2096-08-03|2099-10-01|506|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|2532|H|I|SHI|NULL|M|Y|N|NA|USD|0|0|0|0|0|5|0|0|0|NULL|NULL|NULL|SP|NULL|NULL|NULL|NULL|CL|269|20816|3108|2012-02-25|NULL|NULL
509|||2|CHURCH STREET STATION|SHI|2|4285|2088-05-01|2000-05-28|534|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|285|H|K|SHI|NULL|F|NULL|B|NA|USD|0|0|3|3|0|5|0|0|0|4|C|NULL|KOV|NULL|NULL|NULL|NULL|CL|269|20816|3108|2012-02-25|NULL|NULL
813|||2|FAYETTEVILLE /CROSS CREEK MALL|SHI|2|3223|2098-02-15|2099-01-12|560|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|3223|H|D|SHI|LF|L|N|N|NA|USD|0|0|0|0|0|5|0|0|0|NULL|NULL|L|KN|NULL|NULL|NULL|NULL|CL|269|20816|3108|2012-02-25|NULL|NULL
1061|||2|RIVIERA HOTEL|SHI|2|2281|2094-11-03|2098-09-01|839|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|2281|N|K|SHI|NULL|M|Y|N|NA|USD|0|0|0|0|0|5|0|0|0|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|CL|269|20816|3108|2012-02-25|NULL|NULL
1173|||2|TOWER CITY CENTER|SHI|2|4497|2091-04-01|2006-07-26|510|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|497|H|K|SHI|NULL|M|NULL|B|F|USD|0|4|1|2|0|5|0|0|0|9|B|NULL|KC|NULL|NULL|NULL|Z|WNA|269|20816|3108|2012-02-25|NULL|NULL
1829|||2|(C)CLEMATIS STREET|CMB|2|3455|2098-04-23||548|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|114|CLOSED REGION|3455|H|I|CMB|SBS|S|NULL|NULL|NULL|NULL||||NULL|||0|||NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|269|12486|3108|2012-02-25|NULL|NULL
1925|||2|WEST TOWN MALL|PRM|2|5298|2006-11-24|2007-10-26|557|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|5298|I|I|PRM|SM|M|N|N|C|USD|0|1|0|0|0|5|0|0|0|NULL|NULL|NULL|NULL|NULL|NULL|NULL|Z|NULL|269|20816|3108|2012-02-25|NULL|NULL
2213|||2|RIVERWALK II|SHI|2|4070|2094-10-06|2006-05-28|622|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|70|H|I|SHI|NULL|F|NULL|S|F|USD|0|4|0|0|0|6|0|0|0|NULL|NULL|NULL|BI|NULL|NULL|NULL|Z|WIS|269|20816|3108|2012-02-25|NULL|NULL
2221|||2|ALA MOANA|SHI|2|2423|2096-01-20|2099-01-12|744|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|2423|H|D|SHI|LF|L|Y|N|NA|USD|0|0|0|0|0|5|0|0|0|NULL|NULL|L|KN|NULL|NULL|NULL|NULL|CL|269|20816|3108|2012-02-25|NULL|NULL
