144|1|8|6|2007-06-16 17:57:37.480457
1248|1|9|39|2007-06-16 17:57:37.480457
2352|1|12|2|2007-06-16 17:57:37.480457
512|4|18|34|2007-06-16 17:57:37.480457
880|4|20|15|2007-06-16 17:57:37.480457
15600|1|8|10|2011-12-27 21:44:17.645615
20016|1|8|10|2012-03-29 21:46:46.3416
14864|1|1|5|2010-01-07 21:46:07.78672
20384|1|14|16|2012-03-29 21:46:48.039704
14632|1|2|18|2008-07-31 22:00:52.423955
280|1|1|5|2007-06-16 17:57:37.480457
648|1|2|46|2007-06-16 17:57:37.480457
2120|1|6|5113|2007-06-16 17:57:37.480457
19784|4|20|14|2012-03-29 21:46:45.163575
20152|1|16|19|2012-03-29 21:46:47.11319
20520|1|17|5111|2012-08-20 21:46:41.6567
8|1|13|5104|2007-06-16 17:57:37.480457
15096|1|1|7|2011-03-25 21:45:58.350364
376|1|14|28|2007-06-16 17:57:37.480457
20248|1|11|31|2012-03-29 21:46:47.536121
14360|1|9|39|2007-10-11 18:00:42.841689
1848|1|3|48|2007-06-16 17:57:37.480457
14728|1|2|18|2009-02-19 22:00:58.810502
19880|1|11|33|2012-03-29 21:46:45.517417
256|1|11|33|2007-06-16 17:57:37.480457
624|1|12|2|2007-06-16 17:57:37.480457
14608|1|1|5|2008-06-05 22:00:52.847902
19760|1|1|5|2012-03-29 21:46:45.076352
14976|4|20|13|2010-08-18 21:45:55.527485
20496|1|11|30|2012-06-08 21:46:42.171415
1184|1|11|31|2007-06-16 17:57:37.480457
448|1|1|7|2007-06-16 17:57:37.480457
80|1|12|3|2007-06-16 17:57:37.480457
816|4|20|13|2007-06-16 17:57:37.480457
1552|1|13|20|2007-06-16 17:57:37.480457
14800|1|6|5113|2009-09-16 21:45:53.973107
15536|1|13|5104|2011-12-27 21:44:17.201578
19952|1|9|40|2012-03-29 21:46:45.787449
20320|1|6|5113|2012-03-29 21:46:47.820637
15032|1|13|5104|2010-11-03 21:46:01.375592
312|1|11|33|2007-06-16 17:57:37.480457
19816|1|11|30|2012-03-29 21:46:45.280257
14664|1|13|5104|2008-09-26 22:01:15.858855
2152|1|6|5113|2007-06-16 17:57:37.480457
20184|1|13|5104|2012-03-29 21:46:47.277128
136|1|8|6|2007-06-16 17:57:37.480457
15592|1|13|5104|2011-12-27 21:44:17.616727
2344|1|14|16|2007-06-16 17:57:37.480457
872|1|12|3|2007-06-16 17:57:37.480457
1240|1|14|28|2007-06-16 17:57:37.480457
14856|1|1|5|2010-01-07 21:46:07.78672
20008|1|13|9|2012-03-29 21:46:46.316928
20376|1|13|5104|2012-03-29 21:46:48.000199
14352|1|9|40|2007-10-04 18:00:43.956042
368|1|14|16|2007-06-16 17:57:37.480457
14720|1|2|18|2009-01-26 22:00:54.364964
1840|1|5|45|2007-06-16 17:57:37.480457
15088|1|12|2|2011-02-15 21:45:55.57419
19872|1|11|26|2012-03-29 21:46:45.490446
20240|1|8|10|2012-03-29 21:46:47.510115
40|1|1|8|2007-06-16 17:57:37.480457
1512|1|8|6|2007-06-16 17:57:37.480457
408|1|4|5118|2007-06-16 17:57:37.480457
776|1|1|5|2007-06-16 17:57:37.480457
14392|1|1|7|2007-12-04 18:32:45.141179
19912|1|9|39|2012-03-29 21:46:45.646664
20280|1|2|18|2012-03-29 21:46:47.675957
15496|1|16|19|2011-08-18 21:44:35.885301
14760|1|7|5110|2009-04-30 22:00:52.488755
616|1|8|4|2007-06-16 17:57:37.480457
19752|1|8|6|2012-03-29 21:46:45.027358
14600|1|1|11|2008-06-05 22:00:52.847902
14968|4|18|42|2010-08-12 21:46:01.810252
20488|1|14|16|2012-06-01 21:46:48.511714
192|1|12|2|2007-06-16 17:57:37.480457
14544|1|1|5|2008-06-05 22:00:52.847902
928|1|1|11|2007-06-16 17:57:37.480457
2032|4|20|14|2007-06-16 17:57:37.480457
14912|4|20|13|2010-05-11 21:45:55.272521
2400|4|18|23|2007-06-16 17:57:37.480457
20064|4|18|22|2012-03-29 21:46:46.655883
19696|1|8|4|2012-03-29 21:46:44.665304
20432|1|14|28|2012-03-29 21:46:48.21235
576|1|16|19|2007-06-16 17:57:37.480457
944|1|1|8|2007-06-16 17:57:37.480457
2048|1|8|6|2007-06-16 17:57:37.480457
2416|1|12|2|2007-06-16 17:57:37.480457
19712|1|12|1|2012-03-29 21:46:44.774543
14560|1|9|5105|2008-06-05 22:00:52.847902
20080|4|18|22|2012-03-29 21:46:46.712047
20448|1|11|31|2012-03-29 21:46:48.264193
464|1|8|6|2007-06-16 17:57:37.480457
832|1|12|3|2007-06-16 17:57:37.480457
1200|1|9|39|2007-06-16 17:57:37.480457
2304|4|20|15|2007-06-16 17:57:37.480457
1568|4|18|42|2007-06-16 17:57:37.480457
14816|1|8|10|2009-11-03 21:45:50.933096
19968|1|13|20|2012-03-29 21:46:45.863805
15552|4|18|42|2011-12-27 21:44:17.380964
1272|1|9|5105|2007-06-16 17:57:37.480457
2376|1|8|4|2007-06-16 17:57:37.480457
14888|1|1|5|2010-01-07 21:46:07.78672
168|4|20|14|2007-06-16 17:57:37.480457
536|4|18|34|2007-06-16 17:57:37.480457
20408|1|11|32|2012-03-29 21:46:48.12645
904|1|1|7|2007-06-16 17:57:37.480457
2008|4|20|13|2007-06-16 17:57:37.480457
14520|1|13|5104|2008-05-13 18:00:50.950586
20040|4|18|34|2012-03-29 21:46:46.500961
19672|1|12|2|2012-03-29 21:46:44.386098
15624|4|18|42|2012-01-17 21:44:59.898003
328|1|11|32|2007-06-16 17:57:37.480457
20200|1|12|2|2012-03-29 21:46:47.347591
14312|4|18|22|2007-07-18 18:01:00.155584
19832|1|11|30|2012-03-29 21:46:45.344941
488|1|8|6|2007-06-16 17:57:37.480457
14840|1|9|5105|2009-12-16 21:46:03.565299
120|1|12|2|2007-06-16 17:57:37.480457
1592|1|1|5|2007-06-16 17:57:37.480457
856|1|1|5|2007-06-16 17:57:37.480457
1224|1|11|32|2007-06-16 17:57:37.480457
19992|1|13|9|2012-03-29 21:46:46.237005
20360|1|14|25|2012-03-29 21:46:47.950029
15576|1|11|31|2011-12-27 21:44:17.512341
336|1|11|32|2007-06-16 17:57:37.480457
14320|1|1|7|2007-08-08 18:00:46.083455
1808|1|8|6|2007-06-16 17:57:37.480457
19840|1|11|32|2012-03-29 21:46:45.370338
552|4|18|43|2007-06-16 17:57:37.480457
1288|1|14|28|2007-06-16 17:57:37.480457
2024|1|12|1|2007-06-16 17:57:37.480457
184|4|18|23|2007-06-16 17:57:37.480457
20424|4|20|13|2012-03-29 21:46:48.18745
920|1|8|4|2007-06-16 17:57:37.480457
14536|1|1|5|2008-06-05 22:00:52.847902
20056|4|18|42|2012-03-29 21:46:46.626996
15640|4|18|42|2012-01-17 21:45:00.04368
14904|1|12|2|2010-03-29 21:46:03.611699
19688|1|1|5|2012-03-29 21:46:44.614792
1824|1|1|7|2007-06-16 17:57:37.480457
352|1|9|39|2007-06-16 17:57:37.480457
14704|1|3|48|2008-12-31 22:00:55.703142
15072|1|6|5113|2011-01-25 21:45:59.218641
19856|1|13|35|2012-03-29 21:46:45.420335
424|1|1|8|2007-06-16 17:57:37.480457
14408|1|12|2|2008-01-15 18:00:46.520129
14776|4|20|15|2009-06-10 22:00:55.286595
1160|1|11|30|2007-06-16 17:57:37.480457
